TR,SRC,GEO,MD,TVD,SD,PICK1,PICK2,RCX,RCY,TVDSD,SCX,SCY,SCD
129,6,4,4150,4150,10.00000032,0.62935,1.08160857,0,0,4140.000138,-2500,0,0.00013873
130,6,5,4200,4200,10.00000032,0.63525,1.09517349,0,0,4190.000138,-2500,0,0.00013873
131,6,6,4250,4250,10.00000032,0.6412,1.108797803,0,0,4240.000138,-2500,0,0.00013873
132,6,7,4300,4300,10.00000032,0.64715,1.122396267,0,0,4290.000138,-2500,0,0.00013873
133,6,8,4350,4350,10.00000032,0.6531,1.135969248,0,0,4340.000138,-2500,0,0.00013873
134,6,9,4400,4400,10.00000032,0.6591,1.149604011,0,0,4390.000138,-2500,0,0.00013873
135,6,10,4450,4450,10.00000032,0.66505,1.163127375,0,0,4440.000138,-2500,0,0.00013873
136,6,11,4500,4500,10.00000032,0.67105,1.176713734,0,0,4490.000138,-2500,0,0.00013873
137,6,12,4550,4550,10.00000032,0.6771,1.190364146,0,0,4540.000138,-2500,0,0.00013873
138,6,13,4600,4600,10.00000032,0.6831,1.203903997,0,0,4590.000138,-2500,0,0.00013873
139,6,14,4650,4650,10.00000032,0.6891,1.217421014,0,0,4640.000138,-2500,0,0.00013873
140,6,15,4700,4700,10.00000032,0.69515,1.231003803,0,0,4690.000138,-2500,0,0.00013873
141,6,16,4750,4750,10.00000032,0.7012,1.244564887,0,0,4740.000138,-2500,0,0.00013873
142,6,17,4800,4800,10.00000032,0.70725,1.258104606,0,0,4790.000138,-2500,0,0.00013873
143,6,18,4850,4850,10.00000032,0.7133,1.2716233,0,0,4840.000138,-2500,0,0.00013873
144,6,19,4900,4900,10.00000032,0.7194,1.285210347,0,0,4890.000138,-2500,0,0.00013873
145,6,20,4950,4950,10.00000032,0.7255,1.298777416,0,0,4940.000138,-2500,0,0.00013873
146,6,21,5000,5000,10.00000032,0.73155,1.312235421,0,0,4990.000138,-2500,0,0.00013873
147,6,22,5050,5050,10.00000032,0.73765,1.325763317,0,0,5040.000138,-2500,0,0.00013873
148,6,23,5100,5100,10.00000032,0.7438,1.339361951,0,0,5090.000138,-2500,0,0.00013873
149,6,24,5150,5150,10.00000032,0.7499,1.352852289,0,0,5140.000138,-2500,0,0.00013873
150,6,25,5200,5200,10.00000032,0.756,1.366324227,0,0,5190.000138,-2500,0,0.00013873
151,7,1,4000,4000,10.00000032,0.5842,1.048648346,0,0,3990.000138,-2000,0,0.00013873
152,7,2,4050,4050,10.00000032,0.5903,1.062171283,0,0,4040.000138,-2000,0,0.00013873
153,7,3,4100,4100,10.00000032,0.5964,1.075670628,0,0,4090.000138,-2000,0,0.00013873
154,7,4,4150,4150,10.00000032,0.60255,1.089236907,0,0,4140.000138,-2000,0,0.00013873
155,7,5,4200,4200,10.00000032,0.60865,1.102690714,0,0,4190.000138,-2000,0,0.00013873
156,7,6,4250,4250,10.00000032,0.6148,1.116212798,0,0,4240.000138,-2000,0,0.00013873
157,7,7,4300,4300,10.00000032,0.62095,1.129713561,0,0,4290.000138,-2000,0,0.00013873
158,7,8,4350,4350,10.00000032,0.6271,1.143193445,0,0,4340.000138,-2000,0,0.00013873
159,7,9,4400,4400,10.00000032,0.6333,1.156743886,0,0,4390.000138,-2000,0,0.00013873
160,7,10,4450,4450,10.00000032,0.63945,1.170183483,0,0,4440.000138,-2000,0,0.00013873
161,7,11,4500,4500,10.00000032,0.64565,1.183694824,0,0,4490.000138,-2000,0,0.00013873
162,7,12,4550,4550,10.00000032,0.65185,1.197187308,0,0,4540.000138,-2000,0,0.00013873
163,7,13,4600,4600,10.00000032,0.65805,1.210661325,0,0,4590.000138,-2000,0,0.00013873
164,7,14,4650,4650,10.00000032,0.66425,1.22411726,0,0,4640.000138,-2000,0,0.00013873
165,7,15,4700,4700,10.00000032,0.67045,1.237555491,0,0,4690.000138,-2000,0,0.00013873
166,7,16,4750,4750,10.00000032,0.6767,1.251068523,0,0,4740.000138,-2000,0,0.00013873
167,7,17,4800,4800,10.00000032,0.6829,1.264472595,0,0,4790.000138,-2000,0,0.00013873
168,7,18,4850,4850,10.00000032,0.68915,1.277952469,0,0,4840.000138,-2000,0,0.00013873
169,7,19,4900,4900,10.00000032,0.6954,1.291416348,0,0,4890.000138,-2000,0,0.00013873
170,7,20,4950,4950,10.00000032,0.70165,1.304864563,0,0,4940.000138,-2000,0,0.00013873
171,7,21,5000,5000,10.00000032,0.7079,1.31829744,0,0,4990.000138,-2000,0,0.00013873
172,7,22,5050,5050,10.00000032,0.7142,1.331808243,0,0,5040.000138,-2000,0,0.00013873
173,7,23,5100,5100,10.00000032,0.72045,1.345211511,0,0,5090.000138,-2000,0,0.00013873
174,7,24,5150,5150,10.00000032,0.72675,1.358693564,0,0,5140.000138,-2000,0,0.00013873
175,7,25,5200,5200,10.00000032,0.733,1.372068429,0,0,5190.000138,-2000,0,0.00013873
176,8,1,4000,4000,10.00000032,0.561,1.054360178,0,0,3990.000138,-1500,0,0.00013873
